call_id,item,gold,pred,correct
call_01,greeting,1,1,1
call_01,self_introduction,1,0,0
call_01,needs_discovery,1,1,1
call_01,presentation,1,0,0
call_01,objection_handling,1,0,0
call_01,closing,1,0,0
call_01,next_step_set,1,0,0
call_02,greeting,1,0,0
call_02,self_introduction,1,0,0
call_02,needs_discovery,0,0,1
call_02,presentation,0,0,1
call_02,objection_handling,0,0,1
call_02,closing,0,0,1
call_02,next_step_set,0,0,1
call_03,greeting,1,0,0
call_03,self_introduction,1,0,0
call_03,needs_discovery,0,1,0
call_03,presentation,1,0,0
call_03,objection_handling,1,0,0
call_03,closing,1,0,0
call_03,next_step_set,1,0,0
call_04,greeting,1,0,0
call_04,self_introduction,1,0,0
call_04,needs_discovery,1,1,1
call_04,presentation,1,0,0
call_04,objection_handling,1,0,0
call_04,closing,1,0,0
call_04,next_step_set,1,0,0
call_05,greeting,0,0,1
call_05,self_introduction,0,0,1
call_05,needs_discovery,0,0,1
call_05,presentation,0,0,1
call_05,objection_handling,0,0,1
call_05,closing,0,0,1
call_05,next_step_set,0,0,1
call_06,greeting,1,0,0
call_06,self_introduction,1,0,0
call_06,needs_discovery,1,1,1
call_06,presentation,1,0,0
call_06,objection_handling,1,0,0
call_06,closing,1,0,0
call_06,next_step_set,1,0,0
call_07,greeting,1,1,1
call_07,self_introduction,1,0,0
call_07,needs_discovery,1,1,1
call_07,presentation,1,1,1
call_07,objection_handling,1,0,0
call_07,closing,1,0,0
call_07,next_step_set,1,0,0
call_08,greeting,1,0,0
call_08,self_introduction,1,0,0
call_08,needs_discovery,1,1,1
call_08,presentation,1,0,0
call_08,objection_handling,1,0,0
call_08,closing,1,0,0
call_08,next_step_set,1,0,0
call_09,greeting,1,0,0
call_09,self_introduction,0,0,1
call_09,needs_discovery,0,0,1
call_09,presentation,0,0,1
call_09,objection_handling,0,0,1
call_09,closing,0,0,1
call_09,next_step_set,1,0,0
call_10,greeting,1,1,1
call_10,self_introduction,1,0,0
call_10,needs_discovery,1,1,1
call_10,presentation,1,1,1
call_10,objection_handling,1,1,1
call_10,closing,1,1,1
call_10,next_step_set,1,1,1
call_11,greeting,1,0,0
call_11,self_introduction,1,0,0
call_11,needs_discovery,1,1,1
call_11,presentation,0,0,1
call_11,objection_handling,0,0,1
call_11,closing,1,0,0
call_11,next_step_set,1,0,0
call_12,greeting,1,0,0
call_12,self_introduction,1,0,0
call_12,needs_discovery,1,1,1
call_12,presentation,0,0,1
call_12,objection_handling,1,0,0
call_12,closing,1,0,0
call_12,next_step_set,1,0,0
