path,text,char_len,n_tokens,n_fillers,filler_ratio,n_latin_tokens
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/b/97/4ab97e764cd5.wav,так а вы вообщее,16,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/46/4976e88ced3a.wav,вот смотри олег пишет смотри это к тебе относится мне кажется что я заблудился в этой жизни,91,17,2,0.1176,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/c/b6/1775d887a6ca.wav,вот так,7,2,1,0.5,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/e/0b/e043a2da0ec7.wav,ну говорит всем,15,3,1,0.3333,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/df/206763d0e6cd.wav,ты не найдёшь меня потому что ты тупая,38,8,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/c/8c/f87c81938435.wav,военкомата,10,1,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/11/de06464ae42e.wav,полковник заболотный,20,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/4/89/04b5a28d166a.wav,я тебе,6,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/5f/f5be1dcf6f91.wav,бес под кобылу залез,20,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/4e/c88ef3e978cb.wav,с кем там развлекаетесь названиваете всем подряд,48,7,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/20/8e9969f00379.wav,у меня их два и оба работают,28,7,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/b3/a9f75c55df29.wav,там через реестр теперь понимаешь,33,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/6/bc/33ef89e9d6dd.wav,то есть ты хочешь представить себе меняя,40,7,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/7e/11e7cb8e6de2.wav,три четырнадцатый кабинет,25,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/f3/d42054d0061b.wav,вы попали,9,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/fe/ebb55c0b44a0.wav,дело было так он сразу позвонил и потребовал нужно поделиться с пацанами,72,12,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/c/50/ee62ec81fadf.wav,нет вы скажите вы кто будете скажите мне пожалуйста,51,9,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/84/fffceac2ac8b.wav,а когда можно прямо щас,23,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/c7/afb6a72620cc.wav,красногвардейского района города,32,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/e/4d/3e7ea796e7d1.wav,а дальше всё,12,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/ee/157ca50ec92a.wav,не будет то больно,18,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/b0/5d7b9abb61d8.wav,а второй ты,11,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/df/9e5e492a06ce.wav,вы военный человек или блядь какойто гражданский там,52,8,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/c/13/d985e94d5ac3.wav,слышь ты,8,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/c/52/40ff5f742711.wav,областной военкомат оперативный дежурный,40,4,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/6/5c/38a9f603d6e5.wav,ну колхозником вы себя сначала назовите,39,6,1,0.1667,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/df/38fd608f987d.wav,я не сторож,11,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/f1/d95074f2555a.wav,оперативного дежурного по поводу оповещения клиента что ему нужно,65,9,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/4f/75531da12f8d.wav,интимное бельё вибратор,23,3,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/49/e32e966b1e84.wav,нет ну вы кто,13,4,1,0.25,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/95/96c138fde87b.wav,лучше разговаривают сами с собой этоо,37,6,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/8f/57918806b380.wav,в каком комиссариате вы начальник второго отделения,51,7,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/fa/6f24fbb8f65b.wav,и тебе пидорасу блять сделают очень плохо и ты знаешь это,57,11,1,0.0909,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/ed/0f2a7b5129a2.wav,на чегонибудь ещё да приезжайте,31,5,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/76/53da3cdc9b6f.wav,серёжа куропатка,16,2,0,0.0,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/b/40/16eb14993fb4.wav,вот тебе,8,2,1,0.5,0
/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/22/c908a53a4307.wav,ааа вообще какой смысл был заводить ребёнка в столь раннем возрасте,67,11,1,0.0909,0
