model_name,audio_path,reference,hypothesis,reference_norm,hypothesis_norm,latency_sec,audio_duration_sec,error
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/b/97/4ab97e764cd5.wav,так а вы вообщее,так а вы вообще,так а вы вообщее,так а вы вообще,2.7137627500051167,0.89,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/46/4976e88ced3a.wav,вот смотри олег пишет смотри это к тебе относится мне кажется что я заблудился в этой жизни,смотри олег пишет смотри это к тебе относится мне кажется что я заблудился в этой,вот смотри олег пишет смотри это к тебе относится мне кажется что я заблудился в этой жизни,смотри олег пишет смотри это к тебе относится мне кажется что я заблудился в этой,0.8281500420125667,5.69,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/c/b6/1775d887a6ca.wav,вот так,вот,вот так,вот,0.685104667005362,0.59,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/e/0b/e043a2da0ec7.wav,ну говорит всем,ну говорит сын,ну говорит всем,ну говорит сын,0.6807146669889335,0.89,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/df/206763d0e6cd.wav,ты не найдёшь меня потому что ты тупая,ты ненайдешь меня потому что ты тупой,ты не найдешь меня потому что ты тупая,ты ненайдешь меня потому что ты тупой,0.7002940410166048,1.73,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/c/8c/f87c81938435.wav,военкомата,военкоматы,военкомата,военкоматы,0.6822261250053998,0.65,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/11/de06464ae42e.wav,полковник заболотный,полковник заболотной,полковник заболотный,полковник заболотной,0.7020249580091331,1.4,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/4/89/04b5a28d166a.wav,я тебе,я тебе,я тебе,я тебе,0.6656442499952391,0.48,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/5f/f5be1dcf6f91.wav,бес под кобылу залез,пеш под кобылу залез,бес под кобылу залез,пеш под кобылу залез,0.6905013330106158,1.21,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/4e/c88ef3e978cb.wav,с кем там развлекаетесь названиваете всем подряд,чем там развлекаетесь название всем подряд ну,с кем там развлекаетесь названиваете всем подряд,чем там развлекаетесь название всем подряд ну,0.7164575839997269,1.96,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/20/8e9969f00379.wav,у меня их два и оба работают,у меня их два они оба работают,у меня их два и оба работают,у меня их два они оба работают,0.690772542002378,1.53,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/b3/a9f75c55df29.wav,там через реестр теперь понимаешь,там через реестр теперь понимаешь,там через реестр теперь понимаешь,там через реестр теперь понимаешь,0.7152227500046138,2.13,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/6/bc/33ef89e9d6dd.wav,то есть ты хочешь представить себе меняя,то есть ты хочешь представить себе меня,то есть ты хочешь представить себе меняя,то есть ты хочешь представить себе меня,0.7192535829963163,2.13,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/7e/11e7cb8e6de2.wav,три четырнадцатый кабинет,триста четырнадцатый кабинет,три четырнадцатый кабинет,триста четырнадцатый кабинет,0.701546333002625,1.28,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/f3/d42054d0061b.wav,вы попали,вы поправил,вы попали,вы поправил,0.6794426249980461,0.73,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/fe/ebb55c0b44a0.wav,дело было так он сразу позвонил и потребовал нужно поделиться с пацанами,дело было так он сразу позвонил и потребовал нужно поделиться с пацанами,дело было так он сразу позвонил и потребовал нужно поделиться с пацанами,дело было так он сразу позвонил и потребовал нужно поделиться с пацанами,0.7791113749844953,4.59,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/c/50/ee62ec81fadf.wav,нет вы скажите вы кто будете скажите мне пожалуйста,нет вы скажите вы кто будете скажите мне пожалуйста,нет вы скажите вы кто будете скажите мне пожалуйста,нет вы скажите вы кто будете скажите мне пожалуйста,0.7465448339935392,3.34,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/84/fffceac2ac8b.wav,а когда можно прямо щас,а когда можно прямо сейчас,а когда можно прямо щас,а когда можно прямо сейчас,0.6869628749846015,1.25,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/c7/afb6a72620cc.wav,красногвардейского района города,красногвардейского района города,красногвардейского района города,красногвардейского района города,0.7193807080038823,2.13,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/e/4d/3e7ea796e7d1.wav,а дальше всё,а дальше все,а дальше все,а дальше все,0.6807832919876091,0.92,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/ee/157ca50ec92a.wav,не будет то больно,не будет довольна,не будет то больно,не будет довольна,0.6890558339946438,1.2,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/b0/5d7b9abb61d8.wav,а второй ты,а второй три,а второй ты,а второй три,0.6819875829969533,0.81,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/df/9e5e492a06ce.wav,вы военный человек или блядь какойто гражданский там,вы военный человек или какой то гражданский там,вы военный человек или блядь какойто гражданский там,вы военный человек или какой то гражданский там,0.7596557080105413,2.64,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/c/13/d985e94d5ac3.wav,слышь ты,,слышь ты,,0.6887367920135148,0.4,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/c/52/40ff5f742711.wav,областной военкомат оперативный дежурный,областной военкомат оперативно дежурный,областной военкомат оперативный дежурный,областной военкомат оперативно дежурный,0.7176288750197273,2.16,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/6/5c/38a9f603d6e5.wav,ну колхозником вы себя сначала назовите,ну колхозником и себя сначала назовите,ну колхозником вы себя сначала назовите,ну колхозником и себя сначала назовите,0.7175404999870807,2.21,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/df/38fd608f987d.wav,я не сторож,я не сторож,я не сторож,я не сторож,0.6927926249918528,0.89,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/f1/d95074f2555a.wav,оперативного дежурного по поводу оповещения клиента что ему нужно,оперативного дежурного по поводу оповещения клиента что ему нужно,оперативного дежурного по поводу оповещения клиента что ему нужно,оперативного дежурного по поводу оповещения клиента что ему нужно,0.7760833329812158,4.17,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/4f/75531da12f8d.wav,интимное бельё вибратор,интимное белье вибратор,интимное белье вибратор,интимное белье вибратор,0.7383531250234228,2.67,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/49/e32e966b1e84.wav,нет ну вы кто,нет ну вы кто,нет ну вы кто,нет ну вы кто,0.6851135000179056,1.13,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/95/96c138fde87b.wav,лучше разговаривают сами с собой этоо,пусть разговаривают сами с собой это,лучше разговаривают сами с собой этоо,пусть разговаривают сами с собой это,0.7203342079883441,2.42,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/8f/57918806b380.wav,в каком комиссариате вы начальник второго отделения,в каком комиссариате вы начальник второго отделения,в каком комиссариате вы начальник второго отделения,в каком комиссариате вы начальник второго отделения,0.7469036669936031,3.05,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/fa/6f24fbb8f65b.wav,и тебе пидорасу блять сделают очень плохо и ты знаешь это,и тебе пидорасу блять сделает очень плохо и ты знаешь это,и тебе пидорасу блять сделают очень плохо и ты знаешь это,и тебе пидорасу блять сделает очень плохо и ты знаешь это,0.7761578340141568,4.18,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/ed/0f2a7b5129a2.wav,на чегонибудь ещё да приезжайте,на чего нибудь еще да приезжайте,на чегонибудь еще да приезжайте,на чего нибудь еще да приезжайте,0.7112779580056667,1.88,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/76/53da3cdc9b6f.wav,серёжа куропатка,сережа куропатка,сережа куропатка,сережа куропатка,0.701881625020178,1.22,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/b/40/16eb14993fb4.wav,вот тебе,вот тебе,вот тебе,вот тебе,0.6803134999936447,0.64,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/22/c908a53a4307.wav,ааа вообще какой смысл был заводить ребёнка в столь раннем возрасте,ну а вообще какой смысл был заводить ребенка в столь раннем возрасте,ааа вообще какой смысл был заводить ребенка в столь раннем возрасте,ну а вообще какой смысл был заводить ребенка в столь раннем возрасте,0.7627822080103215,3.56,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/34/cfd21b675403.wav,ой как приятно,ой как приятно,ой как приятно,ой как приятно,0.6821655829844531,1.01,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/2a/58394d8ed0bc.wav,потому что мы живём в христианской цивилизации,потому что мы живем в христианской цивилизации,потому что мы живем в христианской цивилизации,потому что мы живем в христианской цивилизации,0.7266273749992251,2.4,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/11/5db8107385c6.wav,имеем доступы в различные места,имеем доступ в различные места,имеем доступы в различные места,имеем доступ в различные места,0.7086384579888545,1.75,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/de/2692e157a910.wav,нее не обязательно должны служиить к ним там при при разводе к примеру ребёнок обязательно остаётся с матерью и так далее и так позиция неравная а вот этими своими действиями вы как бы ещё больше эту ситуацию пытаетесь склонить в сторону матриархата,не не обязательно должны служить к ним там при при разводе к примеру ребенок обязательно остается с матерью и так далее то есть как бы и так позиция неравная а вот этими своими действиями вы как бы еще больше эту ситуацию пытаетесь склонить в сторону патриархата,нее не обязательно должны служиить к ним там при при разводе к примеру ребенок обязательно остается с матерью и так далее и так позиция неравная а вот этими своими действиями вы как бы еще больше эту ситуацию пытаетесь склонить в сторону матриархата,не не обязательно должны служить к ним там при при разводе к примеру ребенок обязательно остается с матерью и так далее то есть как бы и так позиция неравная а вот этими своими действиями вы как бы еще больше эту ситуацию пытаетесь склонить в сторону патриархата,1.0775092499970924,14.05,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/4/ca/6318b97515e5.wav,с нами два замечательных товарища которые приехали из замечательного города,с нами два замечательных товарища которые приехали из замечательного города,с нами два замечательных товарища которые приехали из замечательного города,с нами два замечательных товарища которые приехали из замечательного города,0.8649638750066515,5.72,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/fb/7965b4e196e2.wav,я тебе работу твою устрою,я тебе работу твою устрою,я тебе работу твою устрою,я тебе работу твою устрою,0.7246355419920292,1.38,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/5/50/62646a2e4998.wav,ды что вы я вообще матом никогда не ругаюсь,да что вы я вообще матом никогда не ругаюсь,ды что вы я вообще матом никогда не ругаюсь,да что вы я вообще матом никогда не ругаюсь,0.7443705830082763,2.39,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/82/33c15e88cb6b.wav,вы не осознанно делаете мне большую рекламу,вы несоздано делать мне вашу рекламу,вы не осознанно делаете мне большую рекламу,вы несоздано делать мне вашу рекламу,0.7064126250043046,1.98,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/39/00d804a561f8.wav,нет подполковник,нет подполковник,нет подполковник,нет подполковник,0.6933297920040786,1.25,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/7b/bd20c9573e3a.wav,вот найди себе подружку и разговаривай,вот найди себе подружку разговаривай,вот найди себе подружку и разговаривай,вот найди себе подружку разговаривай,0.7251113750098739,2.33,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/d3/659e7661ffc3.wav,завидую что тебе звоню каждый день,завидуешь что тебе звоню каждый день,завидую что тебе звоню каждый день,завидуешь что тебе звоню каждый день,0.7156362499808893,1.86,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/f3/0dfe9cff22c7.wav,хорошо я тебя жду давай,хорошо я тебя жду давай,хорошо я тебя жду давай,хорошо я тебя жду давай,0.696264833008172,1.04,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/e/cb/f327b840f422.wav,аллам клянусь клянусь аллахом если вот этот номер ты не выключишь я на красной площади тебя на колени поставлю,если ты мужчина если ты мужчина,аллам клянусь клянусь аллахом если вот этот номер ты не выключишь я на красной площади тебя на колени поставлю,если ты мужчина если ты мужчина,0.8380660409748089,6.86,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/6b/cc04a258ae07.wav,хорошо запишут нас,хорошо запишем,хорошо запишут нас,хорошо запишем,0.6906951249984559,1.18,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/8/2e/372a5ead47d3.wav,слышь кто ты есть хуйлоо,слышишь кто ты есть хуй,слышь кто ты есть хуйлоо,слышишь кто ты есть хуй,0.7090614159824327,1.89,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/b/cf/10e1ce07b5e1.wav,хорошо,хорошо,хорошо,хорошо,0.6886530409974512,0.66,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/78/3e9355dd22a1.wav,я те блять женюсь гомик ёбаный,я тебя блять женюсь гонишь ебаный,я те блять женюсь гомик ебаный,я тебя блять женюсь гонишь ебаный,0.7235210830112919,2.37,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/35/6bb9f0c592c9.wav,ну здравствуйте а я сторож ааа слуцевского военкомата,здравствуйте а я сторож курцевского военкомата,ну здравствуйте а я сторож ааа слуцевского военкомата,здравствуйте а я сторож курцевского военкомата,0.7638517920277081,3.33,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/df/07605ec2bd8e.wav,да хуй блять в сраку больше ничего,да хули в драку больше ничего,да хуй блять в сраку больше ничего,да хули в драку больше ничего,0.7201849590055645,1.82,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/5f/eff7d9b345c5.wav,я завтра разберусь с тобой,я завтра разберусь с тобой,я завтра разберусь с тобой,я завтра разберусь с тобой,0.7162237500015181,1.92,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/f/e9/9766fcac9185.wav,просто вот музыка дала сегодня ночью,просто вот музыка играла сегодня ночью,просто вот музыка дала сегодня ночью,просто вот музыка играла сегодня ночью,0.7156225420185365,1.99,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/7/fc/496ad9b949c1.wav,вот подъедь сюда и точно ты пиздюлину то получишь,вот поди отсюда и точно ты пиздюлю это получишь,вот подъедь сюда и точно ты пиздюлину то получишь,вот поди отсюда и точно ты пиздюлю это получишь,0.7426874169905204,2.82,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/43/7b98c3343650.wav,куда триста четырнадцатый,куда триста четырнадцатый,куда триста четырнадцатый,куда триста четырнадцатый,0.7056765840097796,1.32,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/2a/edab1bc9ec49.wav,что дальше,что дальше,что дальше,что дальше,0.6877241249894723,0.73,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/b0/18a089cad61e.wav,ну и что эээ религия пытается,что религия пытается,ну и что эээ религия пытается,что религия пытается,0.7150796659989282,2.15,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/f3/c8e22b1fd97b.wav,так и буде там и бабуля такая же,так и будет там и бабуля такая же,так и буде там и бабуля такая же,так и будет там и бабуля такая же,0.714534333004849,2.1,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/d7/eddb7db7f380.wav,в интернете,в интернете,в интернете,в интернете,0.6857370829966385,0.6,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/9/79/4ab3ef899321.wav,вы баянова не знаете,вы баянова не знаете,вы баянова не знаете,вы баянова не знаете,0.7064848750014789,1.45,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/a/04/322c37e36137.wav,бери такси я заплачу,бери такси я заплачу,бери такси я заплачу,бери такси я заплачу,0.6882457920000888,1.53,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/b/84/85a7ae664e38.wav,как у вас сегодня женщин нету почемуто,как у вас сегодня женщин нету почему то,как у вас сегодня женщин нету почемуто,как у вас сегодня женщин нету почему то,0.7510924999951385,3.01,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/c/87/6e40162eda94.wav,тридцать четвёртый кабинет в понедельник,тридцать четвертый кабинет в понедельник,тридцать четвертый кабинет в понедельник,тридцать четвертый кабинет в понедельник,0.733485542004928,2.4,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/85/2c67920cb59d.wav,бля короче я тя воще не понял,бля короче я тебя вообще не понял,бля короче я тя воще не понял,бля короче я тебя вообще не понял,0.7407855839992408,1.77,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/3/2d/2010e4dcc021.wav,опять ты придурок с чем тебя поздравлять,опять ты придурок с чем тебя поздравлять,опять ты придурок с чем тебя поздравлять,опять ты придурок с чем тебя поздравлять,0.7506987910019234,2.08,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/1/7b/cc37ce0ab513.wav,давай короче телефон бацай,давай короче телефон бакс,давай короче телефон бацай,давай короче телефон бакс,0.6994697090121917,1.65,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/0/29/1e6b38afa18f.wav,страной провокаторы кому деньги платятся и так далее,провокаторы кому деньги платят и так далее,страной провокаторы кому деньги платятся и так далее,провокаторы кому деньги платят и так далее,0.7536492500221357,3.05,
GigaAM,/Users/emiliaknyazeva/Desktop/whisper/data/raw/openstt/asr_calls_2_val/2/57/1f7dcf98fe2e.wav,найди залупоглазый прыщ,наебись здоровоглазый прыщ,найди залупоглазый прыщ,наебись здоровоглазый прыщ,0.7098636669979896,1.7,
